DATE,DEPTH,TN
2011-11-08,1000,23.13
2011-11-08,1500,24.33
2011-11-08,2000,22.24
2011-11-08,2500,26.59
2011-11-08,2700,
2011-12-09,0,
2012-01-11,100,23.2
2012-01-11,500,26.19
2012-01-11,1000,25.56
2012-01-11,1500,24.01
2012-01-11,2000,26.23
2012-01-11,2500,26.12
2012-01-11,2700,
2012-02-13,0,
2012-03-13,100,21.33
2012-03-13,500,20.95
2012-03-13,1000,24.01
2012-03-13,1500,20.92
2012-03-13,2000,26.09
2012-03-13,2500,27.11
2012-04-10,100,
2012-04-10,500,
2012-04-10,1000,
2012-04-10,1500,
2012-04-10,2000,
2012-04-10,2500,
2012-05-14,100,17.39
2012-05-14,500,
2012-05-14,1000,17.85
2012-05-14,1500,17.62
2012-05-14,2000,18.38
2012-05-14,2500,18.98
2012-06-26,100,22.72
2012-06-26,500,29.21
2012-06-26,1000,22.33
2012-06-26,1500,56.96
2012-06-26,2000,
2012-06-26,2500,21.84
2012-07-16,100,20.64
2012-07-16,500,24.48
2012-07-16,1000,22.24
2012-07-16,1500,22.15
2012-07-16,2000,22.57
2012-07-16,2500,22.22
2012-08-07,100,19.8
2012-08-07,500,
2012-08-07,1000,20.71
2012-08-07,1500,25.16
2012-08-07,2000,
2012-08-07,2500,19.22
2012-09-27,100,21.81
2012-09-27,500,19.68
2012-09-27,1000,24.84
2012-09-27,1500,22.58
2012-09-27,2000,16.86
2012-09-27,2500,18.33
2012-10-02,100,17.27
2012-10-02,500,17.3
2012-10-02,1000,15.83
2012-10-02,1500,16.65
2012-10-02,2000,20.88
2012-10-02,2500,19.15
2012-11-06,100,17.36
2012-11-06,500,17.23
2012-11-06,1000,17.73
2012-11-06,1500,14.14
2012-11-06,2000,21.97
2012-11-06,2500,23.92
2012-12-04,100,18.76
2012-12-04,500,19.07
2012-12-04,1000,15.4
2012-12-04,1500,17.07
2012-12-04,2000,17.99
2012-12-04,2500,18.16
2013-01-01,0,
2013-02-06,100,27.23
2013-02-06,500,27.55
2013-02-06,1000,26.68
2013-02-06,1500,30.4
2013-02-06,2000,29.81
2013-02-06,2500,26.44
2013-03-05,100,24.75
2013-03-05,500,27.88
2013-03-05,1000,31.7
2013-03-05,1500,28.41
2013-03-05,2000,28.42
2013-03-05,2500,27.42
2013-04-03,100,23.87
2013-04-03,500,27.25
2013-04-03,1000,24.53
2013-04-03,1500,27.37
2013-04-03,2000,27.91
2013-04-03,2500,26.85
2013-05-24,100,21.9
2013-05-24,500,19.56
2013-05-24,1000,19.85
2013-05-24,1500,21.24
2013-05-24,2000,21.2
2013-05-24,2500,22.73
2013-06-04,100,18.03
2013-06-04,500,19.38
2013-06-04,1000,18.65
2013-06-04,1500,18.68
2013-06-04,2000,19.48
2013-06-04,2500,22.61
2013-07-04,100,17.23
2013-07-04,500,15.03
2013-07-04,1000,13.88
2013-07-04,1500,13.33
2013-07-04,2000,15.94
2013-07-04,2500,14.33
2013-08-28,100,19.11
2013-08-28,500,36.62
