DATE,DEPTH,NO2
06/05/1997,200,
06/05/1997,2000,0.84
06/05/1997,100,0.11
06/05/1997,300,
30/05/1997,2500,0.98
30/05/1997,1500,0.02
30/05/1997,1000,0.01
30/05/1997,2000,0.05
30/05/1997,100,0.02
30/05/1997,500,0.02
05/06/1997,500,0.01
05/06/1997,2000,0.35
05/06/1997,2500,1
05/06/1997,300,
05/06/1997,200,
05/06/1997,100,0.01
05/06/1997,1000,0.01
05/06/1997,1500,0.01
18/06/1997,2500,0.39
18/06/1997,1000,0.01
18/06/1997,1500,0.02
18/06/1997,200,
18/06/1997,500,0.01
18/06/1997,300,
18/06/1997,100,0.01
18/06/1997,2000,0.82
02/07/1997,1000,0.09
02/07/1997,300,
02/07/1997,1500,0.14
02/07/1997,100,0.07
02/07/1997,2000,0.31
02/07/1997,500,0.08
02/07/1997,2500,0.17
02/07/1997,200,
09/07/1997,300,
09/07/1997,200,
09/07/1997,2500,0.2
09/07/1997,500,0.08
09/07/1997,2000,0.26
09/07/1997,1500,0.08
09/07/1997,100,0.08
09/07/1997,1000,0.08
15/07/1997,200,
15/07/1997,1000,0.09
15/07/1997,2500,0.15
15/07/1997,2000,0.09
15/07/1997,300,
15/07/1997,500,0.21
15/07/1997,1500,0.22
15/07/1997,100,0.08
23/07/1997,2000,0.14
23/07/1997,2500,0.14
23/07/1997,1500,0.07
23/07/1997,500,0.13
23/07/1997,300,
23/07/1997,200,
23/07/1997,1000,0.08
23/07/1997,100,0.17
30/07/1997,2000,0.19
30/07/1997,1500,0.08
30/07/1997,200,
30/07/1997,500,0.08
30/07/1997,1000,0.11
30/07/1997,100,0.09
30/07/1997,300,
30/07/1997,2000,0.25
05/08/1997,1000,0.06
05/08/1997,300,
05/08/1997,100,0.06
05/08/1997,2000,0.14
05/08/1997,500,0.06
05/08/1997,200,
05/08/1997,1500,0.07
05/08/1997,2500,0.17
12/08/1997,100,0.08
12/08/1997,1000,0.07
12/08/1997,2500,0.12
12/08/1997,500,0.1
12/08/1997,200,
12/08/1997,2000,0.13
12/08/1997,1500,0.09
12/08/1997,300,
18/08/1997,1000,
18/08/1997,2000,
18/08/1997,1500,
18/08/1997,2500,0.25
18/08/1997,300,
18/08/1997,200,
18/08/1997,100,0.07
18/08/1997,500,
25/08/1997,100,0.06
25/08/1997,500,0.06
25/08/1997,1000,0.06
25/08/1997,2500,0.19
25/08/1997,1500,0.13
25/08/1997,200,
25/08/1997,300,
25/08/1997,2000,0.15
01/09/1997,500,0.06
