DATE,DEPTH,TP
02/12/1963,2000,1.1
02/12/1963,2600,1.36
02/12/1963,1500,1.36
02/12/1963,500,0.9
02/12/1963,1000,0.81
04/02/1964,1500,1.49
04/02/1964,2000,2.03
04/02/1964,500,3.03
04/02/1964,100,5.71
04/02/1964,2600,2
04/02/1964,1000,1.58
25/02/1964,2000,1.49
25/02/1964,100,1.39
25/02/1964,1000,1.23
25/02/1964,2600,1.13
25/02/1964,500,1.03
25/02/1964,1500,3.36
17/03/1964,100,1.29
17/03/1964,2000,2.52
17/03/1964,1000,0.42
17/03/1964,1500,1.87
17/03/1964,2600,2.74
17/03/1964,500,1.74
07/04/1964,1000,1.68
07/04/1964,100,1.29
07/04/1964,1500,0.87
07/04/1964,2000,2.42
07/04/1964,2600,1.94
07/04/1964,500,2.55
13/05/1964,500,1.55
13/05/1964,1500,1.78
13/05/1964,2600,3.07
13/05/1964,100,0.65
13/05/1964,2000,0.84
13/05/1964,1000,1.32
09/06/1964,1500,1.32
09/06/1964,500,0.58
09/06/1964,100,0.55
09/06/1964,1000,1.26
09/06/1964,2000,2.36
09/06/1964,2600,3.03
21/07/1964,1000,1.26
21/07/1964,2600,2.13
21/07/1964,1500,0.55
21/07/1964,500,0.55
21/07/1964,100,0.42
21/07/1964,2000,1.19
27/08/1964,500,0.77
27/08/1964,1000,1.65
27/08/1964,2000,1.81
27/08/1964,1500,0.68
27/08/1964,100,1.71
27/08/1964,2600,4
10/09/1964,100,3.75
10/09/1964,1500,1.45
10/09/1964,1000,1
10/09/1964,2600,16.63
10/09/1964,500,1.23
10/09/1964,2000,3.81
20/10/1964,500,2.23
20/10/1964,1000,0.9
20/10/1964,2000,1.9
20/10/1964,2600,8.17
20/10/1964,100,1.19
20/10/1964,1500,1.39
17/11/1964,500,1.78
17/11/1964,2600,11.59
17/11/1964,2000,2.49
17/11/1964,1000,1
17/11/1964,100,1.19
17/11/1964,1500,1.58
15/12/1964,500,2.23
15/12/1964,2600,2.2
15/12/1964,1000,1.42
15/12/1964,100,1.61
15/12/1964,2000,1.84
15/12/1964,1500,1.94
19/01/1965,1000,0.9
19/01/1965,2600,0.97
19/01/1965,1500,1
19/01/1965,500,1.1
19/01/1965,2000,1.26
19/01/1965,100,1.13
17/02/1965,1500,0.68
17/02/1965,100,0.77
17/02/1965,1000,0.81
17/02/1965,500,0.84
17/02/1965,2000,0.77
17/02/1965,2600,1.26
16/03/1965,2000,1.23
16/03/1965,500,1
16/03/1965,2600,1.39
16/03/1965,1000,1.03
16/03/1965,100,1.13
16/03/1965,1500,0.94
24/04/1965,1000,0.58
24/04/1965,2000,0.87
24/04/1965,500,1.29
24/04/1965,1500,0.81
24/04/1965,2600,1.52
24/04/1965,100,0.74
11/05/1965,500,0.55
11/05/1965,2000,0.58
11/05/1965,100,0.74
11/05/1965,1500,0.45
11/05/1965,1000,0.36
11/05/1965,2600,0.9
15/06/1965,100,0.26
15/06/1965,2600,1.42
15/06/1965,1500,1.87
15/06/1965,2000,0.55
15/06/1965,500,0.42
15/06/1965,1000,0.74
21/07/1965,2600,8.07
21/07/1965,100,0.74
21/07/1965,1000,0.97
21/07/1965,500,0.55
21/07/1965,1500,0.16
21/07/1965,2000,1.26
24/08/1965,1500,0.9
24/08/1965,100,0.42
24/08/1965,2600,2.36
24/08/1965,500,0.71
24/08/1965,1000,0.19
24/08/1965,2000,0.81
07/09/1965,1000,0.55
07/09/1965,2000,1.97
07/09/1965,2600,2.91
07/09/1965,100,0.19
07/09/1965,500,0.36
07/09/1965,1500,0.68
05/10/1965,1000,1.1
05/10/1965,100,0.32
05/10/1965,2600,5.68
05/10/1965,2000,1.1
05/10/1965,1500,0.81
05/10/1965,500,0.97
02/11/1965,2000,2.84
02/11/1965,2600,3
02/11/1965,100,1.81
02/11/1965,1000,1.52
02/11/1965,500,0.81
02/11/1965,1500,2.23
07/12/1965,1000,1
07/12/1965,1500,1.13
07/12/1965,2600,0.81
07/12/1965,2000,0.81
07/12/1965,500,1.32
07/12/1965,100,1.84
18/01/1966,100,0.97
18/01/1966,1500,1
18/01/1966,500,1.26
18/01/1966,2600,1.13
18/01/1966,2000,1.16
18/01/1966,1000,1
14/02/1966,2600,1.58
14/02/1966,1500,1.52
14/02/1966,1000,1.42
14/02/1966,2000,1.39
14/02/1966,500,1.49
14/02/1966,100,1.07
14/03/1966,1500,0.52
14/03/1966,500,0.55
14/03/1966,1000,0.52
14/03/1966,2000,0.61
14/03/1966,2600,1.03
14/03/1966,100,0.52
05/04/1966,2000,0.32
05/04/1966,1500,1.03
05/04/1966,100,0.19
05/04/1966,2600,0.36
05/04/1966,1000,0.23
05/04/1966,500,0.19
10/05/1966,1500,0.74
10/05/1966,2000,0.77
10/05/1966,2600,1.61
10/05/1966,1000,0.97
10/05/1966,500,0.52
10/05/1966,100,1
23/06/1966,500,0.52
23/06/1966,100,0.65
23/06/1966,1500,0.97
23/06/1966,2600,1.61
23/06/1966,2000,1.13
23/06/1966,1000,0.32
12/07/1966,2000,0.71
12/07/1966,2600,0.9
12/07/1966,1500,0.61
12/07/1966,1000,0.77
12/07/1966,500,0.32
12/07/1966,100,0.36
02/08/1966,100,0.77
02/08/1966,500,0.42
02/08/1966,1000,0.52
02/08/1966,2600,0.84
02/08/1966,2000,0.77
02/08/1966,1500,0.68
05/09/1966,500,2.1
05/09/1966,1000,0.48
05/09/1966,1500,0.32
05/09/1966,2000,
05/09/1966,2600,1.55
05/09/1966,100,0.36
03/10/1966,2600,5.94
03/10/1966,1000,0.81
03/10/1966,1500,1.32
03/10/1966,500,0.77
03/10/1966,2000,1.84
03/10/1966,100,0.68
31/10/1966,2600,4.62
31/10/1966,2000,1.71
31/10/1966,100,1.39
31/10/1966,1000,1.26
31/10/1966,500,1.1
31/10/1966,1500,1.29
06/12/1966,1000,0.97
06/12/1966,2600,1.68
06/12/1966,100,0.48
06/12/1966,1500,1.13
06/12/1966,500,0.55
06/12/1966,2000,1.23
10/01/1967,1500,1.26
10/01/1967,1000,0.39
10/01/1967,500,0.65
10/01/1967,2600,0.61
10/01/1967,100,0.61
10/01/1967,2000,1
07/02/1967,2600,0.94
07/02/1967,500,0.97
07/02/1967,1000,1
07/02/1967,1500,1.52
07/02/1967,100,0.68
07/02/1967,2000,1.26
06/03/1967,2000,0.97
06/03/1967,2600,1.23
06/03/1967,500,1.1
06/03/1967,100,1.13
06/03/1967,1000,2.1
06/03/1967,1500,1.13
05/04/1967,100,0.77
05/04/1967,2600,1.16
05/04/1967,500,
05/04/1967,1000,1.07
05/04/1967,2000,1.1
05/04/1967,1500,0.36
08/05/1967,1000,0.87
08/05/1967,100,0.55
08/05/1967,1500,0.94
08/05/1967,2600,4.1
08/05/1967,500,1.55
08/05/1967,2000,0.58
05/06/1967,500,0.48
05/06/1967,2600,4.42
05/06/1967,2000,2.26
05/06/1967,1000,0.81
05/06/1967,100,0.42
05/06/1967,1500,0.71
03/07/1967,2000,1.94
03/07/1967,1000,0.84
03/07/1967,500,0.74
03/07/1967,1500,1.32
03/07/1967,100,1.26
03/07/1967,2600,2.94
01/08/1967,100,1.03
01/08/1967,2000,0.71
01/08/1967,2600,1.03
01/08/1967,1500,3.91
01/08/1967,500,1.29
01/08/1967,1000,3.78
18/09/1967,100,0.81
18/09/1967,2000,1.84
18/09/1967,500,0.81
18/09/1967,2600,7.52
18/09/1967,1000,1.16
18/09/1967,1500,
10/10/1967,2600,3.62
10/10/1967,500,1.26
10/10/1967,1500,2.55
10/10/1967,100,0.9
10/10/1967,1000,1.52
10/10/1967,2000,3.68
06/11/1967,2600,3.36
06/11/1967,100,0.94
06/11/1967,2000,1.29
06/11/1967,500,1.81
06/11/1967,1500,1.19
06/11/1967,1000,1.58
04/12/1967,2600,1.16
04/12/1967,1500,1.81
04/12/1967,1000,1.58
04/12/1967,100,1.13
04/12/1967,500,1.61
04/12/1967,2000,0.9
08/01/1968,1000,1.55
08/01/1968,1500,1.52
08/01/1968,500,1.78
08/01/1968,100,1.52
08/01/1968,2000,1.42
08/01/1968,2600,1.03
