DATE,DEPTH,NH4
2006-07-27,1500,0.22
2006-07-27,2500,4.44
2006-07-27,500,0.11
2006-08-17,2500,4.24
2006-08-17,2000,1.16
2006-08-17,1000,1.47
2006-08-17,100,0.24
2006-08-17,1500,1.47
2006-08-17,500,0.24
2006-09-20,2000,0.91
2006-09-20,2500,0.9
2006-09-20,1500,0.42
2006-09-20,100,0.64
2006-09-20,500,0.71
2006-09-20,1000,0.53
2006-10-11,2500,
2006-10-11,100,
2006-10-11,1000,
2006-10-11,500,
2006-10-11,1500,
2006-10-11,2000,
2006-11-14,500,0.23
2006-11-14,1500,0.4
2006-11-14,1000,0.29
2006-11-14,2000,3.55
2006-11-14,100,0.35
2006-11-14,2500,6.69
2006-12-12,2500,2.14
2006-12-12,1000,1.24
2006-12-12,500,0.74
2006-12-12,100,0.88
2006-12-12,1500,1.5
2006-12-12,2000,1.67
2007-02-22,2500,2.09
2007-02-22,2000,2.0
2007-02-22,1000,1.23
2007-02-22,1500,1.83
2007-02-22,500,0.86
2007-02-22,100,0.79
2007-03-15,2500,2.34
2007-03-15,100,0.14
2007-03-15,1000,0.18
2007-03-15,1500,0.44
2007-03-15,500,0.11
2007-03-15,2000,1.07
2007-04-05,1000,0.02
2007-04-05,500,0.01
2007-04-05,100,0.02
2007-04-05,2500,1.56
2007-04-05,2000,0.97
2007-04-05,1500,0.01
2007-05-04,500,
2007-05-04,1000,
2007-05-04,2500,
2007-05-04,1500,
2007-05-04,100,
2007-05-04,2000,
2007-05-14,1500,
2007-05-14,100,
2007-05-14,2000,
2007-05-14,2500,
2007-05-14,1000,
2007-05-14,500,
2007-06-14,1500,0.1
2007-06-14,100,0.09
2007-06-14,2000,0.07
2007-06-14,1000,0.01
2007-06-14,500,0.01
2007-06-14,2500,9.36
2007-07-12,100,0.67
2007-07-12,1000,0.39
2007-07-12,1500,1.06
2007-07-12,500,0.36
2007-07-12,2000,1.4
2007-07-12,2500,7.21
2007-08-16,500,0.11
2007-08-16,1500,0.21
2007-08-16,2500,2.16
2007-08-16,100,0.03
2007-08-16,1000,0.13
2007-08-16,2000,0.41
2007-09-12,2500,9.2
2007-09-12,100,0.03
2007-09-12,1500,0.04
2007-09-12,500,0.01
2007-09-12,1000,0.01
2007-09-12,2000,0.06
2007-10-16,2000,5.65
2007-10-16,100,0.01
2007-10-16,500,0.03
2007-10-16,1500,0.1
2007-10-16,2500,7.29
2007-10-16,1000,0.03
2007-11-13,500,0.05
2007-11-13,2500,0.75
2007-11-13,2000,0.02
2007-11-13,1500,0.02
2007-11-13,100,0.04
2007-11-13,1000,0.07
2007-12-11,100,1.13
2007-12-11,2500,3.1
2007-12-11,1000,1.25
2007-12-11,1500,1.26
2007-12-11,500,1.09
2007-12-11,2000,1.65
2008-01-17,1500,1.21
2008-01-17,2500,1.14
2008-01-17,100,1.04
2008-01-17,1000,1.23
2008-01-17,500,1.11
2008-01-17,2000,1.2
2008-02-19,1500,0.09
2008-02-19,500,0.14
2008-02-19,2000,0.79
2008-02-19,100,0.03
2008-02-19,1000,0.15
2008-02-19,2500,1.53
2008-04-16,100,0.08
2008-04-16,1500,0.05
2008-04-16,1000,0.04
2008-04-16,500,0.08
2008-04-16,2000,0.09
2008-04-16,2500,5.52
2008-05-20,500,0.01
2008-05-20,1500,0.06
2008-05-20,2500,8.0
2008-05-20,100,0.03
2008-05-20,2000,0.97
2008-05-20,1000,0.05
2008-06-24,1000,0.15
2008-06-24,1500,0.09
2008-06-24,2500,0.97
2008-06-24,2000,0.12
2008-06-24,500,0.14
2008-06-24,100,0.12
2008-07-09,500,0.09
2008-07-09,1000,0.05
2008-07-09,100,0.05
2008-07-09,1500,0.02
2008-07-09,2500,0.93
2008-07-09,2000,0.01
2008-08-19,500,0.23
2008-08-19,1000,0.07
2008-08-19,2500,0.7
2008-08-19,1500,0.09
2008-08-19,2000,0.02
2008-08-19,100,0.39
2008-09-15,2500,
2008-09-15,1500,
2008-09-15,100,
2008-09-15,500,
2008-09-15,1000,
2008-09-15,2000,
2008-09-16,2500,
2008-09-16,500,
2008-09-16,1000,
2008-09-16,100,
2008-09-16,2000,
2008-09-16,1500,
2008-09-17,100,
2008-09-17,1500,
2008-09-17,2000,
2008-09-17,1000,
2008-09-17,500,
2008-09-17,2500,
2008-09-18,2500,
2008-09-18,1500,
2008-09-18,1000,
2008-09-18,500,
2008-09-18,2000,
2008-09-18,100,
2008-10-27,1500,1.58
2008-10-27,2000,0.95
2008-10-27,2500,0.85
2008-10-27,100,0.9
2008-10-27,1000,1.55
2008-10-27,500,0.63
2008-11-17,100,0.39
2008-11-17,500,0.43
2008-11-17,1500,1.03
2008-11-17,2500,2.44
2008-11-17,2000,2.09
2008-11-17,1000,0.45
2008-12-08,500,
2008-12-08,1000,
2008-12-08,100,
2008-12-08,2500,
2008-12-08,1500,
2008-12-08,2000,
2009-01-19,1500,0.75
2009-01-19,2500,0.64
2009-01-19,500,0.77
2009-01-19,100,0.75
2009-01-19,2000,0.62
2009-01-19,1000,0.74
2009-01-19,100,0.75
2009-01-19,500,0.77
2009-01-19,1000,0.74
2009-01-19,1500,0.75
2009-01-19,2000,0.62
2009-01-19,2500,0.64
