DATE,DEPTH,CTDSAL
15/08/1979,2000,
15/08/1979,1000,
02/09/1979,1000,18.26
02/09/1979,1500,19.43
02/09/1979,500,16.3
02/09/1979,2800,23.72
02/09/1979,2500,23.68
02/09/1979,2000,21.53
01/10/1979,2600,22.68
01/10/1979,1000,17.13
01/10/1979,2000,21.15
01/10/1979,500,17.15
01/10/1979,100,17.12
01/10/1979,1500,18.89
22/11/1979,2600,19.82
22/11/1979,1500,17.59
22/11/1979,100,17.58
22/11/1979,2000,17.63
22/11/1979,1000,17.58
22/11/1979,500,17.56
28/01/1980,2000,18.79
28/01/1980,100,16
28/01/1980,1000,17.57
28/01/1980,500,16.02
28/01/1980,2500,19.11
28/01/1980,1500,18.34
11/02/1980,100,
11/02/1980,2800,
24/03/1980,2500,16.48
24/03/1980,2000,16.48
24/03/1980,100,16.48
24/03/1980,1500,16.48
24/03/1980,500,16.48
24/03/1980,1000,16.48
05/05/1980,2800,
05/05/1980,100,
06/05/1980,2000,21.19
06/05/1980,2600,21.84
06/05/1980,100,16.1
06/05/1980,500,16.49
06/05/1980,1500,19.43
06/05/1980,1000,16.85
21/07/1980,1000,18.35
21/07/1980,2000,22.48
21/07/1980,500,17.27
21/07/1980,2600,25.27
21/07/1980,1500,21.23
21/07/1980,100,16.71
05/09/1980,500,16.73
05/09/1980,2000,21.86
05/09/1980,2500,23.69
05/09/1980,1000,17.71
05/09/1980,1500,20.71
05/09/1980,2800,24.02
22/09/1980,1000,19.9
22/09/1980,1500,21.26
22/09/1980,2000,22.55
22/09/1980,2600,23.38
22/09/1980,500,18.98
22/09/1980,100,18.82
24/11/1980,100,
24/11/1980,2900,
28/11/1980,1500,19.56
28/11/1980,2500,19.58
28/11/1980,500,19.56
28/11/1980,100,19.56
28/11/1980,2000,19.57
28/11/1980,1000,19.56
07/01/1981,1000,19.53
07/01/1981,100,19.53
07/01/1981,1500,19.53
07/01/1981,2500,19.57
07/01/1981,500,19.53
07/01/1981,2000,19.54
23/02/1981,1000,18.66
23/02/1981,2000,18.73
23/02/1981,500,18.65
23/02/1981,2600,18.81
23/02/1981,1500,18.67
23/02/1981,100,18.64
13/04/1981,100,13.99
13/04/1981,1500,14.96
13/04/1981,2500,17.68
13/04/1981,1000,14.75
13/04/1981,500,13.99
13/04/1981,2000,15.54
01/07/1981,2000,24.59
01/07/1981,1500,22.85
01/07/1981,2600,25.97
01/07/1981,100,14.76
01/07/1981,1000,14.8
01/07/1981,500,14.76
05/10/1981,500,17.23
05/10/1981,2000,19.85
05/10/1981,2600,23.84
05/10/1981,1000,17.41
05/10/1981,1500,17.8
05/10/1981,100,17.09
05/01/1982,2600,19.9
05/01/1982,1500,16.36
05/01/1982,1000,13.16
05/01/1982,2000,17.99
05/01/1982,500,12.7
05/01/1982,100,12.63
05/02/1982,100,16.27
05/02/1982,2600,22.62
13/04/1982,500,15.91
13/04/1982,2000,19.76
13/04/1982,2500,20.83
13/04/1982,100,15.9
13/04/1982,1000,16.11
13/04/1982,1500,16.43
14/05/1982,2800,18.53
14/05/1982,100,12.42
12/08/1982,1000,14.88
12/08/1982,500,13.63
12/08/1982,2400,22.58
12/08/1982,2800,23.2
12/08/1982,100,13.21
12/08/1982,1500,17.59
12/08/1982,2000,21.39
24/08/1982,1000,20.46
24/08/1982,2000,22.74
24/08/1982,1500,21.68
24/08/1982,2500,22.97
24/08/1982,500,18.22
24/08/1982,100,18.2
11/10/1982,1000,19.52
11/10/1982,2500,23.87
11/10/1982,1500,19.62
11/10/1982,100,19.32
11/10/1982,500,19.39
11/10/1982,2000,20.39
01/12/1982,1000,23.49
01/12/1982,2500,25.42
01/12/1982,100,19.05
01/12/1982,2000,25.14
01/12/1982,1500,24.46
01/12/1982,500,19.05
20/12/1982,2700,19.12
20/12/1982,100,19.37
28/08/1983,1000,15.6
28/08/1983,100,15.18
28/08/1983,2000,22.38
28/08/1983,2400,23.79
28/08/1983,1500,18.92
28/08/1983,2800,23.94
28/08/1983,500,15.35
09/04/1985,200,
09/04/1985,2000,
09/04/1985,300,
09/04/1985,1000,
09/04/1985,500,
09/04/1985,1500,
09/04/1985,100,
07/01/1986,1000,17.89
07/01/1986,100,17.88
07/01/1986,2500,18.04
07/01/1986,500,17.89
07/01/1986,2000,17.95
07/01/1986,1500,17.92
11/02/1986,2000,16.98
11/02/1986,100,16.22
11/02/1986,500,16.22
11/02/1986,1000,16.27
11/02/1986,2600,17.09
11/02/1986,1500,16.44
11/03/1986,2000,16.69
11/03/1986,100,13.89
11/03/1986,500,13.9
11/03/1986,1500,16.22
11/03/1986,2600,17.27
11/03/1986,1000,15.36
07/04/1986,2000,20.78
07/04/1986,100,15.34
07/04/1986,1000,15.73
07/04/1986,2500,22.65
07/04/1986,500,15.34
07/04/1986,1500,18.73
22/05/1986,1000,16.15
22/05/1986,1500,19.53
22/05/1986,500,15.45
22/05/1986,100,15.43
22/05/1986,2000,22.05
22/05/1986,2500,22.61
09/06/1986,1000,16.28
09/06/1986,100,14.93
09/06/1986,500,14.93
09/06/1986,2500,24.17
09/06/1986,2000,23.24
09/06/1986,1500,21.85
21/07/1986,2500,25.88
21/07/1986,100,13.72
21/07/1986,2000,24.85
21/07/1986,500,13.75
21/07/1986,1500,23.42
21/07/1986,1000,18
07/08/1986,100,16.05
07/08/1986,500,16.58
07/08/1986,2000,24.49
07/08/1986,2400,25.41
07/08/1986,1500,21.4
07/08/1986,1000,19.87
15/09/1986,500,17.44
15/09/1986,2500,24.12
15/09/1986,1500,22.07
15/09/1986,2000,23.72
15/09/1986,1000,19.71
15/09/1986,100,17.45
20/10/1986,100,21.06
20/10/1986,500,21.13
20/10/1986,1000,21.12
20/10/1986,2400,22.66
20/10/1986,1500,21.12
20/10/1986,2000,21.27
02/12/1986,100,20.87
02/12/1986,1500,21.17
02/12/1986,500,20.9
02/12/1986,1000,20.99
02/12/1986,2500,21.38
02/12/1986,2000,21.27
18/12/1986,1500,20.42
18/12/1986,2000,21.6
18/12/1986,500,20.4
18/12/1986,2500,21.99
18/12/1986,100,20.4
18/12/1986,1000,20.41
19/02/1987,2500,17.42
19/02/1987,500,15.8
19/02/1987,1500,16.31
19/02/1987,100,15.8
19/02/1987,1000,15.84
19/02/1987,2000,16.64
14/04/1987,1000,15.15
14/04/1987,2000,16.83
14/04/1987,500,15.04
14/04/1987,2600,18.02
14/04/1987,1500,15.67
14/04/1987,100,14.95
18/06/1987,1000,14.47
18/06/1987,2000,22.22
18/06/1987,500,14.44
18/06/1987,100,14.42
18/06/1987,1500,19.59
16/09/1987,100,16.11
16/09/1987,2000,20.38
16/09/1987,2500,21.11
16/09/1987,1500,18.33
16/09/1987,500,16.1
16/09/1987,1000,17.15
23/11/1987,500,16.35
23/11/1987,2600,18.88
23/11/1987,2000,17.98
23/11/1987,1000,16.39
23/11/1987,1500,17.79
23/11/1987,100,16.35
18/01/1988,2000,21.88
18/01/1988,100,19.49
18/01/1988,1500,19.72
18/01/1988,2500,22.68
18/01/1988,500,19.49
18/01/1988,1000,19.59
19/04/1988,1000,15.94
19/04/1988,2000,17.49
19/04/1988,500,14.75
19/04/1988,2700,18.46
19/04/1988,1500,16.39
19/04/1988,100,14.22
30/05/1988,100,12.9
30/05/1988,500,14.12
30/05/1988,1500,15.19
30/05/1988,1000,14.63
30/05/1988,2000,15.87
30/05/1988,2700,16.43
20/06/1988,2300,17.33
20/06/1988,2000,16.77
20/06/1988,1500,14.66
20/06/1988,100,12.24
20/06/1988,500,12.26
20/06/1988,1000,12.92
21/07/1988,100,14.04
21/07/1988,2400,23.47
