DATE,DEPTH,OXY
12/06/1961,1000,325
12/06/1961,100,293.8
12/06/1961,2600,112.5
12/06/1961,500,293.8
12/06/1961,2000,168.8
12/06/1961,1500,293.8
12/07/1961,500,284.4
12/07/1961,1500,181.3
12/07/1961,2600,143.8
12/07/1961,100,306.3
12/07/1961,1000,256.3
12/07/1961,2000,153.1
02/08/1961,2600,37.5
02/08/1961,2000,106.3
02/08/1961,1500,187.5
02/08/1961,1000,287.5
02/08/1961,500,287.5
02/08/1961,100,303.1
07/09/1961,500,246.9
07/09/1961,2000,134.4
07/09/1961,100,271.9
07/09/1961,2600,31.3
07/09/1961,1500,150
07/09/1961,1000,209.4
11/10/1961,100,287.5
11/10/1961,1500,265.6
11/10/1961,2000,240.6
11/10/1961,2600,28.1
11/10/1961,1000,265.6
11/10/1961,500,287.5
16/11/1961,500,281.3
16/11/1961,1500,265.6
16/11/1961,2600,168.8
16/11/1961,1000,278.1
16/11/1961,2000,268.8
16/11/1961,100,290.6
14/12/1961,100,321.9
14/12/1961,500,253.1
14/12/1961,2000,256.3
14/12/1961,2600,278.1
14/12/1961,1000,312.5
14/12/1961,1500,268.8
06/03/1962,1000,400
06/03/1962,1500,390.6
06/03/1962,2600,393.8
06/03/1962,500,393.8
06/03/1962,100,415.6
06/03/1962,2000,396.9
27/03/1962,2600,315.6
27/03/1962,100,462.5
27/03/1962,2000,378.1
27/03/1962,500,446.9
27/03/1962,1500,393.8
27/03/1962,1000,415.6
18/04/1962,2600,312.5
18/04/1962,500,368.8
18/04/1962,1500,359.4
18/04/1962,1000,393.8
18/04/1962,100,325
18/04/1962,2000,325
09/05/1962,1000,362.5
09/05/1962,1500,350
09/05/1962,100,368.8
09/05/1962,500,371.9
09/05/1962,2600,253.1
09/05/1962,2000,293.8
24/05/1962,1000,303.1
24/05/1962,2600,265.6
24/05/1962,2000,243.8
24/05/1962,500,328.1
24/05/1962,1500,306.3
24/05/1962,100,318.8
21/06/1962,500,312.5
21/06/1962,1500,268.8
21/06/1962,100,315.6
21/06/1962,1000,250
21/06/1962,2000,243.8
21/06/1962,2600,171.9
18/07/1962,1500,212.5
18/07/1962,500,284.4
18/07/1962,2000,215.6
18/07/1962,2600,131.3
18/07/1962,100,281.3
18/07/1962,1000,281.3
15/08/1962,100,296.9
15/08/1962,2600,121.9
15/08/1962,1000,265.6
15/08/1962,2000,125
15/08/1962,500,287.5
15/08/1962,1500,278.1
05/09/1962,2600,56.3
05/09/1962,500,290.6
05/09/1962,1500,140.6
05/09/1962,100,287.5
05/09/1962,1000,271.9
05/09/1962,2000,106.3
10/10/1962,100,309.4
10/10/1962,1000,306.3
10/10/1962,500,312.5
10/10/1962,1500,287.5
10/10/1962,2000,234.4
10/10/1962,2600,40.6
25/10/1962,2600,125
25/10/1962,100,315.6
25/10/1962,500,325
25/10/1962,2000,187.5
25/10/1962,1000,268.8
25/10/1962,1500,218.8
19/11/1962,1500,315.6
19/11/1962,2600,296.9
19/11/1962,100,325
19/11/1962,1000,318.8
19/11/1962,500,318.8
19/11/1962,2000,303.1
11/12/1962,2000,271.9
11/12/1962,1500,331.3
11/12/1962,2600,246.9
11/12/1962,500,346.9
11/12/1962,1000,337.5
11/12/1962,100,331.3
28/03/1963,2000,287.5
28/03/1963,1500,318.8
28/03/1963,1000,340.6
28/03/1963,2600,262.5
28/03/1963,500,334.4
28/03/1963,100,353.1
08/04/1963,2600,293.8
08/04/1963,2000,403.1
08/04/1963,500,409.4
08/04/1963,100,400
08/04/1963,1500,415.6
08/04/1963,1000,421.9
15/05/1963,1500,246.9
15/05/1963,2600,206.3
15/05/1963,100,343.8
15/05/1963,1000,340.6
15/05/1963,500,359.4
15/05/1963,2000,246.9
05/06/1963,2000,150
05/06/1963,1500,281.3
05/06/1963,1000,309.4
05/06/1963,500,284.4
05/06/1963,2600,178.1
05/06/1963,100,290.6
02/07/1963,1500,225
02/07/1963,2600,153.1
02/07/1963,500,300
02/07/1963,1000,284.4
02/07/1963,2000,162.5
02/07/1963,100,275
06/08/1963,2600,128.1
06/08/1963,100,281.3
06/08/1963,1000,306.3
06/08/1963,500,309.4
06/08/1963,1500,296.9
06/08/1963,2000,162.5
03/09/1963,2600,96.9
03/09/1963,2000,243.8
03/09/1963,500,275
