DATE,DEPTH,OXY
2014-08-28,100,282.7
2014-08-28,500,286.3
2014-08-28,1000,161.3
2014-08-28,1500,174.9
2014-08-28,2000,153.0
2014-08-28,2500,116.3
2014-09-23,100,280.3
2014-09-23,500,278.1
2014-09-23,1000,276.0
2014-09-23,1500,273.9
2014-09-23,2000,264.2
2014-09-23,2500,0.0
2014-10-21,100,278.6
2014-10-21,500,273.2
2014-10-21,1000,250.6
2014-10-21,1500,243.6
2014-10-21,2000,212.0
2014-10-21,2500,0.0
2014-11-18,100,269.1
2014-11-18,500,269.5
2014-11-18,1000,268.8
2014-11-18,1500,268.7
2014-11-18,2000,263.7
2014-11-18,2500,163.3
2014-12-16,100,318.2
2014-12-16,500,317.6
2014-12-16,1000,309.5
2014-12-16,1500,312.9
2014-12-16,2000,288.8
2014-12-16,2500,262.3
2015-01-06,100,332.4
2015-01-06,500,334.1
2015-01-06,1000,331.9
2015-01-06,1500,310.0
2015-01-06,2000,284.4
2015-01-06,2500,273.6
2015-02-23,100,355.3
2015-02-23,500,353.7
2015-02-23,1000,337.4
2015-02-23,1500,318.1
2015-02-23,2000,305.1
2015-02-23,2500,305.5
2015-03-17,100,376.9
2015-03-17,500,372.3
2015-03-17,1000,325.3
2015-03-17,1500,347.8
2015-03-17,2000,316.4
2015-03-17,2500,291.7
2015-04-21,100,352.2
2015-04-21,500,353.9
2015-04-21,1000,346.2
2015-04-21,1500,322.3
2015-04-21,2000,270.6
2015-04-21,2500,226.5
2015-05-12,100,329.7
2015-05-12,500,328.0
2015-05-12,1000,316.2
2015-05-12,1500,311.8
2015-05-12,2000,240.7
2015-05-12,2500,218.1
2015-06-04,100,306.2
2015-06-04,500,303.2
2015-06-04,1000,287.7
2015-06-04,1500,274.5
2015-06-04,2000,204.1
2015-06-04,2500,180.4
2015-06-21,100,301.9
2015-06-21,500,300.9
2015-06-21,1000,300.4
2015-06-21,1500,307.9
2015-06-21,2000,241.5
2015-06-21,2500,148.7
2015-07-14,100,291.8
2015-07-14,500,289.6
2015-07-14,1000,261.6
2015-07-14,1500,247.0
2015-07-14,2000,202.9
2015-07-14,2500,115.4
2015-08-04,100,287.0
2015-08-04,500,287.9
2015-08-04,1000,262.5
2015-08-04,1500,180.0
2015-08-04,2000,92.0
2015-08-04,2500,79.9
2015-09-10,100,286.8
2015-09-10,500,283.4
